Player,Mat,NO,Runs,Ave,BF,SR,100,50,0,4s,6s,Team
V Kohli,11,3,765,95.62,847,90.31,3,6,1,68,9,India
KS Williamson,4,1,256,85.33,274,93.43,0,3,0,28,4,New Zealand
KL Rahul,11,4,452,75.33,498,90.76,1,2,0,38,9,India
Fakhar Zaman,4,1,220,73.33,179,122.9,1,1,0,14,18,Pakistan
Azmatullah Omarzai,9,3,353,70.6,361,97.78,0,3,0,26,13,Afghanistan
DJ Mitchell,10,1,552,69.0,497,111.06,2,2,0,48,22,New Zealand
GJ Maxwell,9,3,400,66.66,266,150.37,2,0,1,40,22,Australia
SS Iyer,11,3,530,66.25,468,113.24,2,3,1,37,24,India
Mohammad Rizwan,9,2,395,65.83,414,95.41,1,1,0,38,5,Pakistan
R Ravindra,10,1,578,64.22,543,106.44,3,2,0,55,17,New Zealand
Q de Kock,10,0,594,59.4,555,107.02,4,0,0,57,21,South Africa
TM Head,6,0,329,54.83,258,127.51,2,1,1,37,13,Australia
Mahmudullah,8,1,328,54.66,358,91.62,1,1,0,28,14,Bangladesh
RG Sharma,11,0,597,54.27,474,125.94,1,3,1,66,31,India
S Samarawickrama,9,2,373,53.28,365,102.19,1,2,1,36,4,Sri Lanka
Hashmatullah Shahidi,9,3,310,51.66,424,73.11,0,3,0,25,2,Afghanistan
Agha Salman,3,0,51,51.0,45,113.33,0,1,0,6,1,Pakistan
BA Stokes,6,0,304,50.66,341,89.14,1,2,1,26,11,England
HE van der Dussen,10,1,448,49.77,530,84.52,2,2,0,39,8,South Africa
MR Marsh,10,1,441,49.0,410,107.56,2,1,2,43,21,Australia
DA Warner,11,0,535,48.63,494,108.29,2,2,0,50,24,Australia
RR Hendricks,2,0,97,48.5,94,103.19,0,1,0,10,3,South Africa
Ibrahim Zadran,9,1,376,47.0,493,76.26,1,1,0,39,5,Afghanistan
AK Markram,10,1,406,45.11,366,110.92,1,3,0,44,9,South Africa
DJ Malan,9,0,404,44.88,400,101.0,1,2,0,50,9,England
DA Miller,10,2,356,44.5,330,107.87,1,1,0,25,20,South Africa
Ikram Alikhil,7,1,89,44.5,101,88.11,0,1,0,7,3,Afghanistan
Shubman Gill,9,1,354,44.25,331,106.94,0,4,0,41,12,India
Abdullah Shafique,8,0,336,42.0,360,93.33,1,3,1,36,9,Pakistan
P Nissanka,9,1,332,41.5,371,89.48,0,4,2,44,3,Sri Lanka
H Klaasen,10,1,373,41.44,280,133.21,1,1,0,28,19,South Africa
DP Conway,10,1,372,41.33,366,101.63,1,0,1,54,4,New Zealand
GD Phillips,10,2,285,40.71,255,111.76,0,2,0,22,14,New Zealand
M Labuschagne,11,1,362,40.22,512,70.7,0,3,0,31,2,Australia
RA Jadeja,11,2,120,40.0,118,101.69,0,0,0,7,3,India
Babar Azam,9,1,320,40.0,386,82.9,0,4,0,32,4,Pakistan
MD Shanaka,2,0,80,40.0,80,100.0,0,1,0,6,3,Sri Lanka
Rahmat Shah,9,1,320,40.0,419,76.37,0,3,0,28,2,Afghanistan
SA Engelbrecht,8,0,300,37.5,450,66.66,0,2,0,25,3,Netherlands
SA Edwards,9,2,259,37.0,298,86.91,0,2,2,22,3,Netherlands
KIC Asalanka,9,0,288,36.0,338,85.2,1,1,0,19,11,Sri Lanka
Saud Shakeel,9,0,241,34.42,246,97.96,0,2,0,30,1,Pakistan
WA Young,6,0,206,34.33,246,83.73,0,2,1,23,6,New Zealand
SPD Smith,10,1,302,33.55,373,80.96,0,2,1,30,2,Australia
Towhid Hridoy,7,1,164,32.8,210,78.09,0,1,0,7,5,Bangladesh
BKG Mendis,9,0,294,32.66,258,113.95,1,1,0,27,15,Sri Lanka
PJ Cummins,11,4,128,32.0,186,68.81,0,0,0,13,5,Australia
Litton Das,9,0,284,31.55,354,80.22,0,2,1,32,5,Bangladesh
M Jansen,9,3,157,31.4,142,110.56,0,1,1,9,9,South Africa
Rahmanullah Gurbaz,9,0,280,31.11,283,98.93,0,2,1,31,9,Afghanistan
JE Root,9,0,276,30.66,312,88.46,0,3,1,21,2,England
JDS Neesham,3,0,58,29.0,47,123.4,0,1,1,3,3,New Zealand
MA Wood,7,4,85,28.33,65,130.76,0,0,1,7,5,England
HC Brook,6,0,169,28.16,150,112.66,0,1,0,20,5,England
Shoriful Islam,8,5,28,28.0,28,100.0,0,0,0,3,1,Bangladesh
Najmul Hossain Shanto,9,1,222,27.75,289,76.81,0,2,2,25,1,Bangladesh
AT Nidamanuru,7,1,164,27.33,167,98.2,0,1,0,11,10,Netherlands
Imam-ul-Haq,6,0,162,27.0,180,90.0,0,1,0,23,0,Pakistan
Shakib Al Hasan,7,0,186,26.57,226,82.3,0,1,0,21,4,Bangladesh
Noor Ahmad,4,0,26,26.0,32,81.25,0,0,0,4,0,Afghanistan
TWM Latham,10,2,155,25.83,170,91.17,0,2,1,12,3,New Zealand
MJ Santner,10,3,103,25.75,81,127.16,0,0,0,6,5,New Zealand
Mushfiqur Rahim,9,1,202,25.25,255,79.21,0,2,0,14,4,Bangladesh
M Theekshana,8,2,100,25.0,185,54.05,0,0,2,11,1,Sri Lanka
Shadab Khan,6,0,121,24.2,120,100.83,0,0,0,7,4,Pakistan
CN Ackermann,9,0,216,24.0,263,82.12,0,1,1,27,0,Netherlands
JM Bairstow,9,0,215,23.88,243,88.47,0,2,1,27,3,England
Iftikhar Ahmed,9,2,142,23.66,123,115.44,0,0,0,11,8,Pakistan
Ishan Kishan,2,0,47,23.5,48,97.91,0,0,1,5,2,India
LV van Beek,8,2,140,23.33,179,78.21,0,1,1,9,3,Netherlands
Mohammad Wasim,4,1,23,23.0,23,100.0,0,0,0,2,2,Pakistan
Mehidy Hasan Miraz,9,0,201,22.33,253,79.44,0,1,0,21,2,Bangladesh
MP Stoinis,6,1,87,21.75,77,112.98,0,0,0,8,4,Australia
MDKJ Perera,7,0,149,21.28,147,101.36,0,2,1,25,2,Sri Lanka
TA Boult,10,3,21,21.0,25,84.0,0,0,0,1,1,New Zealand
Rashid Khan,9,1,105,21.0,111,94.59,0,0,0,7,5,Afghanistan
C Green,3,0,63,21.0,83,75.9,0,0,0,6,0,Australia
W Barresi,4,0,83,20.75,112,74.1,0,0,0,11,1,Netherlands
Mohammad Nawaz,5,0,81,20.25,97,83.5,0,0,0,5,3,Pakistan
DM de Silva,8,0,140,20.0,184,76.08,0,0,0,13,4,Sri Lanka
JP Inglis,10,0,159,19.87,168,94.64,0,1,1,17,3,Australia
KA Maharaj,10,3,59,19.66,80,73.75,0,0,0,7,1,South Africa
DJ Willey,6,2,78,19.5,67,116.41,0,0,0,7,6,England
Kuldeep Yadav,11,1,19,19.0,31,61.29,0,0,0,1,0,India
CR Woakes,8,1,131,18.71,155,84.51,0,1,1,15,2,England
AAP Atkinson,3,1,37,18.5,23,160.86,0,0,1,7,0,England
Shaheen Shah Afridi,9,3,55,18.33,60,91.66,0,0,0,7,1,Pakistan
T Bavuma,8,0,145,18.12,197,73.6,0,0,1,18,3,South Africa
SA Yadav,7,1,106,17.66,105,100.95,0,0,0,12,1,India
Haris Rauf,9,2,53,17.66,45,117.77,0,0,0,5,4,Pakistan
MS Chapman,8,1,84,16.8,71,118.3,0,0,0,10,1,New Zealand
Mahedi Hasan,3,1,33,16.5,73,45.2,0,0,0,2,0,Bangladesh
Vikramjit Singh,6,0,98,16.33,150,65.33,0,1,0,12,1,Netherlands
Tanzid Hasan,9,0,145,16.11,152,95.39,0,1,1,22,3,Bangladesh
A Zampa,11,3,48,16.0,60,80.0,0,0,1,5,0,Australia
MM Ali,6,0,95,15.83,127,74.8,0,0,0,8,1,England
BFW de Leede,9,0,139,15.44,199,69.84,0,1,0,15,2,Netherlands
AU Rashid,9,3,92,15.33,91,101.09,0,0,0,7,2,England
JC Buttler,9,0,138,15.33,142,97.18,0,0,0,11,5,England
MP O'Dowd,9,0,138,15.33,200,69.0,0,0,1,22,2,Netherlands
