Player,Mat,NO,Runs,Ave,BF,SR,100,50,0,4s,6s,Team
Naveen-ul-Haq,8,1,16,4.0,25,64.0,0,0,2,2,0,Afghanistan
M Theekshana,8,2,100,25.0,185,54.05,0,0,2,11,1,Sri Lanka
RE van der Merwe,8,0,68,8.5,85,80.0,0,0,2,4,3,Netherlands
PA van Meekeren,9,2,26,4.33,54,48.14,0,0,2,3,0,Netherlands
SA Edwards,9,2,259,37.0,298,86.91,0,2,2,22,3,Netherlands
Najmul Hossain Shanto,9,1,222,27.75,289,76.81,0,2,2,25,1,Bangladesh
P Nissanka,9,1,332,41.5,371,89.48,0,4,2,44,3,Sri Lanka
MR Marsh,10,1,441,49.0,410,107.56,2,1,2,43,21,Australia
AT Carey,1,0,0,0.0,2,0.0,0,0,1,0,0,Australia
Usama Mir,4,0,0,0.0,3,0.0,0,0,1,0,0,Pakistan
MADI Hemantha,2,1,4,4.0,4,100.0,0,0,1,1,0,Sri Lanka
Ishan Kishan,2,0,47,23.5,48,97.91,0,0,1,5,2,India
FDM Karunaratne,2,0,15,7.5,22,68.18,0,0,1,1,0,Sri Lanka
JDS Neesham,3,0,58,29.0,47,123.4,0,1,1,3,3,New Zealand
AAP Atkinson,3,1,37,18.5,23,160.86,0,0,1,7,0,England
Fazalhaq Farooqi,6,2,2,2.0,9,22.22,0,0,1,0,0,Afghanistan
Hasan Ali,6,0,20,6.66,28,71.42,0,0,1,4,0,Pakistan
L Ngidi,8,1,11,5.5,41,26.82,0,0,1,0,0,South Africa
DN Wellalage,3,0,12,4.0,18,66.66,0,0,1,1,0,Sri Lanka
PVD Chameera,4,0,6,1.5,39,15.38,0,0,1,0,0,Sri Lanka
MJ Henry,7,2,19,9.5,22,86.36,0,0,1,1,1,New Zealand
AD Mathews,5,0,51,12.75,78,65.38,0,0,1,4,1,Sri Lanka
CAK Rajitha,6,0,52,13.0,57,91.22,0,0,1,6,1,Sri Lanka
JR Hazlewood,11,3,4,2.0,5,80.0,0,0,1,0,0,Australia
TM Head,6,0,329,54.83,258,127.51,2,1,1,37,13,Australia
LS Livingstone,6,0,60,10.0,94,63.82,0,0,1,6,0,England
BA Stokes,6,0,304,50.66,341,89.14,1,2,1,26,11,England
WA Young,6,0,206,34.33,246,83.73,0,2,1,23,6,New Zealand
A Zampa,11,3,48,16.0,60,80.0,0,0,1,5,0,Australia
MDKJ Perera,7,0,149,21.28,147,101.36,0,2,1,25,2,Sri Lanka
MA Wood,7,4,85,28.33,65,130.76,0,0,1,7,5,England
Abdullah Shafique,8,0,336,42.0,360,93.33,1,3,1,36,9,Pakistan
T Bavuma,8,0,145,18.12,197,73.6,0,0,1,18,3,South Africa
JP Inglis,10,0,159,19.87,168,94.64,0,1,1,17,3,Australia
M Jansen,9,3,157,31.4,142,110.56,0,1,1,9,9,South Africa
TWM Latham,10,2,155,25.83,170,91.17,0,2,1,12,3,New Zealand
MA Starc,10,1,87,12.42,151,57.61,0,0,1,7,1,Australia
LV van Beek,8,2,140,23.33,179,78.21,0,1,1,9,3,Netherlands
CR Woakes,8,1,131,18.71,155,84.51,0,1,1,15,2,England
CN Ackermann,9,0,216,24.0,263,82.12,0,1,1,27,0,Netherlands
JM Bairstow,9,0,215,23.88,243,88.47,0,2,1,27,3,England
Litton Das,9,0,284,31.55,354,80.22,0,2,1,32,5,Bangladesh
GJ Maxwell,9,3,400,66.66,266,150.37,2,0,1,40,22,Australia
MP O'Dowd,9,0,138,15.33,200,69.0,0,0,1,22,2,Netherlands
Rahmanullah Gurbaz,9,0,280,31.11,283,98.93,0,2,1,31,9,Afghanistan
JE Root,9,0,276,30.66,312,88.46,0,3,1,21,2,England
S Samarawickrama,9,2,373,53.28,365,102.19,1,2,1,36,4,Sri Lanka
Tanzid Hasan,9,0,145,16.11,152,95.39,0,1,1,22,3,Bangladesh
DP Conway,10,1,372,41.33,366,101.63,1,0,1,54,4,New Zealand
SPD Smith,10,1,302,33.55,373,80.96,0,2,1,30,2,Australia
SS Iyer,11,3,530,66.25,468,113.24,2,3,1,37,24,India
V Kohli,11,3,765,95.62,847,90.31,3,6,1,68,9,India
RG Sharma,11,0,597,54.27,474,125.94,1,3,1,66,31,India
