Player,Mat,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Team
R Ashwin,1,10.0,1,34,1,34.00,3.4,60.0,0,0,India
JJ Bumrah,11,91.5,9,373,20,18.65,4.06,27.5,1,0,India
Mohammad Nabi,9,61.3,4,254,8,31.75,4.13,46.1,0,0,Afghanistan
KA Maharaj,10,89.0,1,370,15,24.66,4.15,35.6,1,0,South Africa
RA Jadeja,11,93.3,4,398,16,24.87,4.25,35.0,0,1,India
V Kohli,11,3.3,0,15,1,15.00,4.28,21.0,0,0,India
Kuldeep Yadav,11,95.1,2,424,15,28.26,4.45,38.0,0,0,India
Rashid Khan,9,86.3,2,388,11,35.27,4.48,47.1,0,0,Afghanistan
AK Markram,10,18.3,1,85,1,85.00,4.59,111.0,0,0,South Africa
Noor Ahmad,4,38.0,1,182,5,36.40,4.78,45.6,0,0,Afghanistan
TM Head,6,21.0,0,101,2,50.50,4.8,63.0,0,0,Australia
GJ Maxwell,9,68.3,1,330,6,55.00,4.81,68.5,0,0,Australia
JR Hazlewood,11,93.1,8,449,16,28.06,4.81,34.9,0,0,Australia
AD Mathews,5,22.1,2,107,6,17.83,4.82,22.1,0,0,Sri Lanka
MJ Santner,10,92.4,4,449,16,28.06,4.84,34.7,0,1,New Zealand
CN Ackermann,9,47.2,2,234,5,46.80,4.94,56.8,0,0,Netherlands
K Rabada,9,72.5,7,364,13,28.00,4.99,33.6,0,0,South Africa
Najmul Hossain Shanto,9,1.0,0,5,0,0,5.0,0,0,0,Bangladesh
DJ Willey,6,51.0,6,259,11,23.54,5.07,27.8,0,0,England
AL Phehlukwayo,1,7.0,0,36,1,36.00,5.14,42.0,0,0,South Africa
AU Rashid,9,79.4,1,413,15,27.53,5.18,31.8,0,0,England
Mohammed Shami,7,48.5,4,257,24,10.70,5.26,12.2,1,3,India
Shakib Al Hasan,7,62.3,1,329,9,36.55,5.26,41.6,0,0,Bangladesh
M Theekshana,8,71.2,1,382,6,63.66,5.35,71.3,0,0,Sri Lanka
A Zampa,11,96.0,1,515,23,22.39,5.36,25.0,3,0,Australia
CR Woakes,8,55.0,1,298,10,29.80,5.41,33.0,1,0,England
