Player,Mat,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Team
RG Sharma,11,0.5,0,7,1,7.00,8.40,5.00,0,0,India
Mohammed Shami,7,48.5,4,257,24,10.70,5.26,12.20,1,3,India
G Coetzee,8,63.3,1,396,20,19.80,6.23,19.05,1,0,South Africa
HH Pandya,4,16.3,0,113,5,22.60,6.84,19.80,0,0,India
Tanzim Hasan Sakib,1,10.0,0,80,3,26.66,8.00,20.00,0,0,Bangladesh
RJW Topley,3,27.4,2,183,8,22.87,6.61,20.75,1,0,England
V Kohli,11,3.3,0,15,1,15.00,4.28,21.00,0,0,India
CBRLS Kumara,2,11.0,0,82,3,27.33,7.45,22.00,0,0,Sri Lanka
AD Mathews,5,22.1,2,107,6,17.83,4.82,22.16,0,0,Sri Lanka
D Madushanka,9,78.2,4,525,21,25.00,6.70,22.38,1,1,Sri Lanka
Mohammad Wasim,4,38.1,2,215,10,21.50,5.63,22.90,0,0,Pakistan
Mahedi Hasan,3,24.0,0,149,6,24.83,6.20,24.00,1,0,Bangladesh
M Jansen,9,69.0,3,450,17,26.47,6.52,24.35,0,0,South Africa
A Zampa,11,96.0,1,515,23,22.39,5.36,25.04,3,0,Australia
BFW de Leede,9,67.0,0,487,16,30.43,7.26,25.12,1,0,Netherlands
T Shamsi,4,37.5,0,212,9,23.55,5.60,25.22,1,0,South Africa
LB Williams,1,8.4,1,56,2,28.00,6.46,26.00,0,0,South Africa
Shaheen Shah Afridi,9,81.0,3,481,18,26.72,5.93,27.00,0,1,Pakistan
JJ Bumrah,11,91.5,9,373,20,18.65,4.06,27.55,1,0,India
DJ Willey,6,51.0,6,259,11,23.54,5.07,27.81,0,0,England
Hasan Mahmud,2,14.0,0,132,3,44.00,9.42,28.00,0,0,Bangladesh
TG Southee,4,33.0,0,256,7,36.57,7.75,28.28,0,0,New Zealand
MP Stoinis,6,19.0,0,143,4,35.75,7.52,28.50,0,0,Australia
Haris Rauf,9,79.0,1,533,16,33.31,6.74,29.62,0,0,Pakistan
MJ Henry,7,54.2,3,315,11,28.63,5.79,29.63,0,0,New Zealand
SA Abbott,1,10.0,0,61,2,30.50,6.10,30.00,0,0,Australia
Saqib Zulfiqar,2,5.0,0,40,1,40.00,8.00,30.00,0,0,Netherlands
AU Rashid,9,79.4,1,413,15,27.53,5.18,31.86,0,0,England
LH Ferguson,7,54.0,3,301,10,30.10,5.57,32.40,0,0,New Zealand
Azmatullah Omarzai,9,38.0,1,270,7,38.57,7.10,32.57,0,0,Afghanistan
MA Starc,10,87.0,2,528,16,33.00,6.06,32.62,0,0,Australia
CR Woakes,8,55.0,1,298,10,29.80,5.41,33.00,1,0,England
K Rabada,9,72.5,7,364,13,28.00,4.99,33.61,0,0,South Africa
Hasan Ali,6,51.0,2,321,9,35.66,6.29,34.00,1,0,Pakistan
MJ Santner,10,92.4,4,449,16,28.06,4.84,34.75,0,1,New Zealand
JR Hazlewood,11,93.1,8,449,16,28.06,4.81,34.93,0,0,Australia
RA Jadeja,11,93.3,4,398,16,24.87,4.25,35.06,0,1,India
Mohammed Siraj,11,82.3,6,469,14,33.50,5.68,35.35,0,0,India
LV van Beek,8,70.5,1,476,12,39.66,6.72,35.41,1,0,Netherlands
KA Maharaj,10,89.0,1,370,15,24.66,4.15,35.60,1,0,South Africa
PJ Cummins,11,89.3,1,515,15,34.33,5.75,35.80,0,0,Australia
AAP Atkinson,3,24.0,0,146,4,36.50,6.08,36.00,0,0,England
L Ngidi,8,60.3,6,355,10,35.50,5.86,36.30,0,0,South Africa
CAK Rajitha,6,49.0,1,336,8,42.00,6.85,36.75,1,0,Sri Lanka
