Player,Mat,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,4+,Team
Mohammed Shami,7,48.5,4,257,24,10.7,5.26,12.2,1,3,4,India
A Zampa,11,96.0,1,515,23,22.39,5.36,25.04,3,0,3,Australia
D Madushanka,9,78.2,4,525,21,25.0,6.7,22.38,1,1,2,Sri Lanka
Mahedi Hasan,3,24.0,0,149,6,24.83,6.2,24.0,1,0,1,Bangladesh
RJW Topley,3,27.4,2,183,8,22.87,6.61,20.75,1,0,1,England
T Shamsi,4,37.5,0,212,9,23.55,5.6,25.22,1,0,1,South Africa
Fazalhaq Farooqi,6,40.0,2,228,6,38.0,5.7,40.0,1,0,1,Afghanistan
CAK Rajitha,6,49.0,1,336,8,42.0,6.85,36.75,1,0,1,Sri Lanka
Hasan Ali,6,51.0,2,321,9,35.66,6.29,34.0,1,0,1,Pakistan
CR Woakes,8,55.0,1,298,10,29.8,5.41,33.0,1,0,1,England
G Coetzee,8,63.3,1,396,20,19.8,6.23,19.05,1,0,1,South Africa
BFW de Leede,9,67.0,0,487,16,30.43,7.26,25.12,1,0,1,Netherlands
LV van Beek,8,70.5,1,476,12,39.66,6.72,35.41,1,0,1,Netherlands
PA van Meekeren,9,74.2,1,447,12,37.25,6.01,37.16,1,0,1,Netherlands
Shaheen Shah Afridi,9,81.0,3,481,18,26.72,5.93,27.0,0,1,1,Pakistan
KA Maharaj,10,89.0,1,370,15,24.66,4.15,35.6,1,0,1,South Africa
JJ Bumrah,11,91.5,9,373,20,18.65,4.06,27.55,1,0,1,India
MJ Santner,10,92.4,4,449,16,28.06,4.84,34.75,0,1,1,New Zealand
RA Jadeja,11,93.3,4,398,16,24.87,4.25,35.06,0,1,1,India
