Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
Trent Boult,91.0,6.0,504.0,55.35,316.0,52.0,15.0,19.0,0.0
Matt Henry,53.8,3.0,315.0,40.81,181.0,36.0,8.0,3.0,3.0
Mitchell Santner,92.4,4.0,449.0,49.580000000000005,276.0,24.0,14.0,5.0,0.0
James Neesham,14.3,0.0,157.0,36.54,26.0,11.0,11.0,2.0,0.0
Rachin Ravindra,65.4,0.0,393.0,56.19,170.0,28.0,14.0,3.0,1.0
Glenn Phillips,40.0,1.0,233.0,57.11,97.0,11.0,9.0,3.0,1.0
Chris Woakes,54.599999999999994,1.0,298.0,45.82,198.0,36.0,4.0,7.0,0.0
Sam Curran,17.2,2.0,140.0,25.73,41.0,16.0,3.0,4.0,2.0
Mark Wood,54.0,1.0,349.0,48.16,154.0,39.0,7.0,8.0,0.0
Moeen Ali,42.4,0.0,248.0,36.08,103.0,18.0,6.0,0.0,0.0
Adil Rashid,79.4,1.0,413.0,49.11,221.0,24.0,11.0,3.0,0.0
Liam Livingstone,29.0,1.0,158.0,35.54,80.0,14.0,2.0,0.0,0.0
Aryan Dutt,77.3,6.0,426.0,50.10000000000001,266.0,46.0,10.0,10.0,1.0
Logan van Beek,70.5,1.0,476.0,52.0,224.0,50.0,14.0,24.0,1.0
Colin Ackermann,47.2,2.0,234.0,46.95,140.0,12.0,8.0,2.0,0.0
Paul van Meekeren,74.2,1.0,447.0,53.75000000000001,227.0,46.0,9.0,17.0,3.0
Bas de Leede,67.0,0.0,487.0,58.11,183.0,52.0,14.0,18.0,2.0
Roelof van der Merwe,56.0,0.0,311.0,46.879999999999995,143.0,20.0,8.0,2.0,1.0
Vikramjit Singh,7.0,0.0,52.0,23.75,19.0,7.0,1.0,1.0,0.0
Saqib Zulfiqar,5.0,0.0,40.0,15.83,11.0,6.0,0.0,0.0,1.0
Shaheen Shah Afridi,81.0,3.0,481.0,53.06,273.0,55.0,10.0,22.0,0.0
Hasan Ali,51.0,2.0,321.0,37.19,180.0,37.0,11.0,13.0,2.0
Haris Rauf,79.0,1.0,533.0,60.919999999999995,227.0,50.0,16.0,18.0,0.0
Iftikhar Ahmed,48.0,0.0,262.0,45.2,141.0,26.0,3.0,4.0,0.0
Mohammad Nawaz,37.5,0.0,223.0,29.27,104.0,19.0,7.0,0.0,0.0
Shadab Khan,38.0,0.0,237.0,32.06,100.0,20.0,6.0,1.0,0.0
Taskin Ahmed,55.0,3.0,305.0,39.43,184.0,32.0,8.0,9.0,0.0
Shoriful Islam,64.0,3.0,409.0,50.24,209.0,48.0,9.0,11.0,0.0
Mustafizur Rahman,65.4,3.0,398.0,47.910000000000004,189.0,43.0,8.0,8.0,0.0
Shakib Al Hasan,62.3,1.0,329.0,36.86,178.0,20.0,11.0,2.0,0.0
Mehidy Hasan Miraz,72.0,3.0,402.0,51.589999999999996,196.0,30.0,11.0,5.0,0.0
Mahmudullah,5.0,0.0,33.0,19.66,10.0,2.0,1.0,1.0,0.0
Fazalhaq Farooqi,40.0,2.0,228.0,35.44,147.0,30.0,5.0,9.0,0.0
Mujeeb Ur Rahman,81.5,2.0,458.0,51.0,257.0,38.0,13.0,9.0,0.0
Naveen-ul-Haq,52.99999999999999,1.0,352.0,52.870000000000005,152.0,34.0,11.0,8.0,2.0
Rashid Khan,86.3,2.0,388.0,40.940000000000005,267.0,25.0,4.0,12.0,0.0
Mohammad Nabi,61.3,4.0,254.0,43.82000000000001,213.0,16.0,7.0,3.0,0.0
Azmatullah Omarzai,38.0,1.0,270.0,61.86,110.0,29.0,9.0,6.0,1.0
Kasun Rajitha,49.0,1.0,336.0,43.46,150.0,34.0,11.0,12.0,0.0
Dilshan Madushanka,77.8,4.0,525.0,61.07999999999999,241.0,63.0,8.0,23.0,3.0
Dasun Shanaka,11.0,0.0,64.0,11.6,20.0,3.0,1.0,0.0,0.0
Dhananjaya de Silva,25.0,0.0,174.0,59.239999999999995,62.0,15.0,6.0,4.0,0.0
Matheesha Pathirana,19.0,0.0,185.0,19.5,36.0,18.0,3.0,14.0,0.0
Dunith Wellalage,29.2,0.0,196.0,19.97,80.0,20.0,6.0,2.0,0.0
Lungi Ngidi,59.89999999999999,6.0,355.0,46.09,225.0,33.0,14.0,23.0,1.0
Marco Jansen,68.60000000000001,3.0,450.0,58.58,259.0,59.0,10.0,36.0,5.0
Kagiso Rabada,72.5,7.0,364.0,45.53999999999999,268.0,36.0,11.0,7.0,5.0
Keshav Maharaj,89.0,1.0,370.0,49.349999999999994,321.0,24.0,12.0,8.0,0.0
Gerald Coetzee,63.3,1.0,396.0,51.54,214.0,47.0,11.0,10.0,2.0
Jasprit Bumrah,91.5,9.0,373.0,42.620000000000005,372.0,38.0,6.0,22.0,0.0
Mohammed Siraj,82.3,6.0,469.0,59.629999999999995,279.0,58.0,8.0,17.0,0.0
Hardik Pandya,16.3,0.0,113.0,37.129999999999995,52.0,19.0,1.0,2.0,0.0
Ravichandran Ashwin,10.0,1.0,34.0,3.4,32.0,2.0,0.0,0.0,0.0
Kuldeep Yadav,95.1,2.0,424.0,44.85,305.0,21.0,14.0,4.0,0.0
Ravindra Jadeja,92.9,4.0,398.0,47.989999999999995,315.0,25.0,9.0,2.0,2.0
